Action (display name)	target(vbs function)	Condition	Main Contents	Sequence			
Atoms_Backupconfigs	Atoms_Backupconfigs	OLDPRODUCTS<>"" OR PATCH	Copy file form temp folder to Aspentech folder	765			
Atoms_TankCalc_DeleteVirtDir	AtOMS_TankCalc_DeleteVirtualDirectory	( ?Atoms.TankCalc_Web_Otherfiles=3 AND ($Atoms.TankCalc_Web_Otherfiles=2 OR $Atoms.TankCalc_Web_Otherfiles=4) ) AND (NOT PATCH)		1002			
Atoms_UnReg_Cli_Svr_Files	AtOMS_UnReg_Cli_Svr	(?Atoms.Cli_Svr_COM_EMSWrapper.dll=3) AND ($Atoms.Cli_Svr_COM_EMSWrapper.dll=2 OR $Atoms.Cli_Svr_COM_EMSWrapper.dll=4)		1005			
Atoms_UnReg_Inter_Files	AtOMS_UnReg_Inter	(?Atoms.Inter_AdvisorClassLib.dll=3) AND ($Atoms.Inter_AdvisorClassLib.dll=2 OR $Atoms.Inter_AdvisorClassLib.dll=4)		1007			
Atoms_TankMonitor_UnRegServer	AtOMS_TankMonitor_UnRegServer	($Atoms.Svr_AtomsTankMonitor.exe = 2)		1008			
Atoms_Monitor_UnRegServer	AtOMS_Monitor_UnRegServer	($Atoms.Svr_AtomsMonitor.exe = 2)		1009			
Atoms_OrderMonitor_UnRegServer	AtOMS_OrderMonitor_UnRegServer	($ZCP1.Atoms.Svr_OrderMonitor.exe = 2)		1010			
AtomsRemoveHtmlHelp	UninstallAdminHTML5Help	($Atoms.Svr_AtomsAdmin.exe=2)		1455			
AtomsCopyHtmlHelp	CopyAdminHTML5Help	($Atoms.Svr_AtomsAdmin.exe>2) AND (NOT PATCH)	Call ExtractHtmlHelp method in ISMutilities, method is unreadable	6601			
AtomsNewHtmlHelp	CopyNewHTML5Help	($Atoms.wwwroot_Atoms>2) AND (NOT PATCH)		6602			
Atoms_Reg_Cli_RegFile	regedit.exe /s "[ATOMSROOT]AtOMSMonitorsRegistry.reg"	$Atoms.Cli_RegFile>2 And SETUPTYPE="Standard"		6603			
Atoms_TankCalc_CreateVirtDir	AtOMS_TankCalc_CreateVirtualDirectory	( $Atoms.TankCalc_Web_Otherfiles > 2 ) AND (ATMODE <> "Remove") AND (NOT PATCH)		6604			
Atoms_Run_dotNET_aspnet_regiis	AtOMS_Run_dotNET_aspnet_regiis	(&Atoms.TankCalcWeb=3) AND NOT(!Atoms.TankCalcWeb=3)		6605			
AtomsCreate_All_VirtualDirectories	Atoms_Create_All_VirtualDirectories	( ATMODE="Install" Or ATMODE="Modify"  Or ATMODE="Repair" ) And (NOT PATCH)		6606			
Atoms_Reg_Cli_Svr_Files	AtOMS_Reg_Cli_Svr	($Atoms.Cli_Svr_COM_EMSWrapper.dll > 2 ) AND (ATMODE <>"Remove")		6607			
Atoms_Reg_Inter_Files	AtOMS_Reg_Inter	($Atoms.Inter_AdvisorClassLib.dll > 2 ) AND (ATMODE <>"Remove")		6608			
Atoms_RunOnce_IIAutoHist	AtOMS_RunOnce_IIAutoHist	( $Atoms.Inter_IIAutoHist.exe > 2 ) AND (ATMODE <> "Remove") AND (NOT PATCH)		6613			
Atoms_Remove_Atoms	AtOMSFolder_Delete	?Atoms.Cli_Svr_AtomsConfig.exe=3 And $Atoms.Cli_Svr_AtomsConfig.exe=2 AND (OLDPRODUCTS="")		6616			
Atoms_Delete_All_VirtualDirectories	Atoms_Delete_All_VirtualDirectories	(&Atoms.Server=2) And (!Atoms.Server=3)		6618			
Atoms_Monitor_RegServer	AtOMS_Monitor_RegServer	($Atoms.Svr_AtomsMonitor.exe > 2)  AND (ATMODE <> "Remove") AND (NOT PATCH)		6705			
Atoms_OrderMonitor_RegServer	AtOMS_OrderMonitor_RegServer	($ZCP1.Atoms.Svr_OrderMonitor.exe > 2)  or (PATCH)		6711			
Atoms_TankMonitor_RegServer	AtOMS_TankMonitor_RegServer	($Atoms.Svr_AtomsTankMonitor.exe > 2) AND (ATMODE <> "Remove") AND (NOT PATCH)		6718			
Atoms_TankMonitor_Rundcomperm	AtOMS_TankMonitor_Rundcomperm	($Atoms.Cli_Svr_dcomperm.exe > 2)  AND (ATMODE <> "Remove")		6768			
Atoms_RestoreConfigs	Atoms_RestoreConfigs	OLDPRODUCTS<>"" OR PATCH		6818			
